                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9507,                 2.3028,                 1.5287,                0.33988,                0.39219,                0.26671,                0.07436,                 2.6641,                 1.7772,                 1.4127,             0.00047204,             0.00047204,             0.00047204
                      2,                 2.6854,                 1.7935,                 1.3749,                0.25678,                0.49923,                0.27901,                0.08205,                 2.6194,                 1.8855,                 1.3976,             0.00087013,             0.00087013,             0.00087013
                      3,                 2.6517,                 1.8875,                  1.425,                 0.2263,                0.37248,                0.18131,                0.05269,                 2.8233,                 2.2472,                 1.4418,              0.0011896,              0.0011896,              0.0011896
                      4,                 2.6235,                 1.8197,                 1.4062,                 0.4003,                0.48573,                0.35568,                0.09646,                 2.5805,                 1.6964,                 1.3574,              0.0010753,              0.0010753,              0.0010753
                      5,                 2.6054,                 1.7538,                 1.3962,                0.39275,                0.47475,                0.34781,                 0.0976,                 2.5787,                 1.7467,                 1.3401,              0.0010753,              0.0010753,              0.0010753
                      6,                 2.5968,                 1.7463,                 1.3996,                0.34624,                0.46072,                0.31607,                 0.0887,                 2.6084,                 1.7724,                 1.3524,             0.00095743,             0.00095743,             0.00095743
                      7,                 2.5503,                 1.7053,                 1.3756,                 0.4926,                0.55445,                0.45958,                0.13127,                 2.6289,                 1.6178,                 1.3757,             0.00083954,             0.00083954,             0.00083954
                      8,                 2.5358,                 1.6765,                 1.3642,                0.51631,                 0.5115,                0.44979,                0.12876,                 2.5257,                  1.642,                 1.3326,             0.00072164,             0.00072164,             0.00072164
                      9,                 2.5251,                 1.6533,                 1.3525,                0.53126,                0.55233,                0.49317,                0.14511,                 2.4875,                 1.5788,                 1.3201,             0.00060375,             0.00060375,             0.00060375
                     10,                 2.4999,                 1.6457,                 1.3469,                0.56113,                0.53702,                0.48686,                0.14428,                  2.486,                 1.5697,                 1.3129,             0.00048586,             0.00048586,             0.00048586
                     11,                 2.4928,                 1.6196,                 1.3404,                0.53077,                0.55539,                0.49568,                0.14461,                 2.4922,                 1.5631,                  1.319,             0.00036797,             0.00036797,             0.00036797
                     12,                 2.4614,                 1.5932,                 1.3292,                0.54846,                0.56408,                0.50308,                0.14689,                 2.4956,                 1.5544,                 1.3133,             0.00025007,             0.00025007,             0.00025007
